date,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
5/26/2018,29,67,3,97,-30,0.625,0.409,120.092,0.0836,0.597,0,4,0.767,5,216747,-6.193,0.577,1
5/26/2018,78,100,20,94,6,0.341,0.0971,117.747,0.0614,0.192,0,4,0.589,6,280678,-11.099,0.0398,0
5/26/2018,23,63,3,90,-27,0.84,0.133,138.032,0.0471,0.143,0,4,0.742,5,204360,-5.198,0.287,0
5/19/2018,25,0,4,84,,0.689,0.603,102.414,0.264,0.0849,0,4,0.917,6,191700,-6.225,0.443,1
5/19/2018,47,47,2,93,-46,0.587,0.149,121.838,0.0421,0.135,1.07E-05,4,0.651,11,261800,-7.307,0.317,0
5/19/2018,59,95,5,94,1,0.659,0.13,177.957,0.272,0.00451,0,4,0.799,10,162488,-5.593,0.256,0
5/19/2018,62,62,2,95,-33,0.815,0.111,159.848,0.0278,0.708,0,4,0.534,5,192520,-2.815,0.564,1
5/19/2018,46,46,2,89,-43,0.657,0.213,104.931,0.0334,0.354,5.17E-06,4,0.645,9,228227,-5.688,0.136,0
5/19/2018,98,0,1,98,,0.675,0.213,155.049,0.247,0.175,0,4,0.731,8,236071,-4.771,0.381,0
5/12/2018,20,20,2,79,-59,0.648,0.182,94.336,0.445,0.147,0,4,0.678,2,190177,-5.892,0.635,1
5/12/2018,34,0,21,34,,0.654,0.071,180.024,0.153,0.627,1.02E-06,4,0.67,4,227533,-5.944,0.438,1
5/12/2018,37,83,9,96,-13,0.308,0.0984,64.934,0.029,0.883,0,4,0.669,11,121887,-10.068,0.52,1
5/12/2018,73,0,1,73,,0.495,0.261,78.395,0.0446,0.751,0.462,4,0.341,0,112013,-10.251,0.252,0
5/12/2018,15,15,2,71,-56,0.385,0.0931,149.897,0.297,0.135,0,4,0.869,4,133922,-7.801,0.596,1
5/12/2018,14,14,2,80,-66,0.487,0.0868,105.05,0.233,0.0299,0,3,0.825,1,218954,-6.416,0.372,1
5/12/2018,57,0,1,57,,0.767,0.0979,164.079,0.0868,0.26,0,4,0.6,5,228147,-4.232,0.291,0
